time,{controller}.c.spring_measure,{spring}.s.springforce,{wind}.w.windforce,{md}.m.x
0.0,0.0,-0.0,0.2,0.0
0.001,0.0,-0.0,0.20002093333318047,0.0
0.002,-0.0,-0.0,0.2000418666654436,3.333333333333334E-10
0.003,-0.0,-1.833333333333334E-8,0.20006279999587212,9.998682222219677E-10
0.004,-1.2333321E-8,-5.499275222220822E-8,0.20008373332354873,1.9994729547752306E-9
0.005,-3.6995116E-8,-1.0997101251263768E-7,0.2001046666475561,3.332015884955337E-9
0.006,-7.398039E-8,-1.8326087367254353E-7,0.20012559996697693,4.9973654119873996E-9
0.007,-1.2328474E-7,-2.7485509765930696E-7,0.2001465332808939,6.995389980343346E-9
0.008,-1.8490269E-7,-3.8474644891888403E-7,0.20016746658838974,9.325958079726093E-9
0.009000000000000001,-3.450605200000001E-7,-5.129276943849352E-7,0.2001883998885471,1.198893824505274E-8
0.010000000000000002,-4.435893E-7,-6.593916034779007E-7,0.20020933318044873,1.4984199056439557E-8
0.011000000000000003,-5.544154E-7,-8.241309481041756E-7,0.20023026646317724,1.8311608995467394E-8
0.012000000000000004,-6.775292E-7,-1.0071384947507066E-6,0.2002511997358154,2.1971036712177633E-8
0.013000000000000005,-8.12927E-7,-1.2084070191697699E-6,0.20027213299744587,2.596235090177581E-8
0.014000000000000005,-9.606088E-7,-1.4279292995976696E-6,0.20029306624715135,3.028542030462355E-8
0.015000000000000006,-1.1205598E-6,-1.6656981167542953E-6,0.20031399948401454,3.494011370622061E-8
0.016000000000000007,-1.2927837E-6,-1.9217062538421336E-6,0.20033493270711814,3.992629993718079E-8
0.017000000000000008,-1.4772731E-6,-2.1959464965449434E-6,0.2003558659155448,4.5243847873232516E-8
0.01800000000000001,-1.6740206E-6,-2.4884116330277885E-6,0.2003767991083773,5.089262643518858E-8
0.01900000000000001,-1.8830262E-6,-2.799094453935372E-6,0.2003977322846983,5.687250458893441E-8
0.02000000000000001,-2.1042825E-6,-3.1279877523913923E-6,0.20041866544359047,6.318335134541632E-8
0.02100000000000001,-2.3377858E-6,-3.475084323997898E-6,0.2004395985841365,6.98250357606175E-8
0.022000000000000013,-2.583525E-6,-3.840376966833963E-6,0.2004605317054192,7.679742693554622E-8
0.023000000000000013,-2.8415038E-6,-4.223858481455042E-6,0.20048146480652115,8.410039401621804E-8
0.024000000000000014,-3.1117148E-6,-4.625521670891992E-6,0.2005023978865251,9.173380619365022E-8
0.025000000000000015,-3.3941506E-6,-5.045359340650762E-6,0.20052333094451377,9.969753270383157E-8
0.026000000000000016,-3.6888075E-6,-5.483364298710736E-6,0.20054426397956984,1.0799144282771069E-7
0.027000000000000017,-3.995667E-6,-5.939529355524088E-6,0.20056519699077602,1.166154058911844E-7
0.028000000000000018,-4.314755E-6,-6.413847324015142E-6,0.200586129977215,1.255692912650798E-7
0.02900000000000002,-4.646053E-6,-6.90631101957939E-6,0.20060706293796954,1.3485296836516124E-7
0.03000000000000002,-4.989561E-6,-7.416913260083868E-6,0.2006279958721223,1.44466306652063E-7
0.03100000000000002,-5.345242E-6,-7.945646865863465E-6,0.20064892877875598,1.5440917563129624E-7
0.03200000000000002,-5.713133E-6,-8.492504659721294E-6,0.20066986165695333,1.646814448532251E-7
0.03300000000000002,-6.093197E-6,-9.05747946692738E-6,0.20069079450579702,1.7528298391310423E-7
0.03400000000000002,-6.485471E-6,-9.640564115220733E-6,0.20071172732436982,1.8621366245099334E-7
0.035000000000000024,-6.889918E-6,-1.0241751434804634E-5,0.2007326601117544,1.9747335015179485E-7
0.036000000000000025,-7.306501E-6,-1.0861034258348716E-5,0.20075359286703348,2.0906191674516824E-7
0.037000000000000026,-7.735294E-6,-1.1498405420984254E-5,0.2007745255892898,2.2097923200556787E-7
0.03800000000000003,-8.176223000000001E-6,-1.2153857760306233E-5,0.20079545827760606,2.3322516575228068E-7
0.03900000000000003,-8.629325E-6,-1.2827384116375437E-5,0.200816390931065,2.4579958784927894E-7
0.04000000000000003,-9.0946E-6,-1.3518977331710341E-5,0.2008373235487493,2.587023682053197E-7
0.04100000000000003,-9.571974E-6,-1.4228630251292583E-5,0.2008582561297417,2.7193337677385924E-7
0.04200000000000003,-1.0061521E-5,-1.4956335722562259E-5,0.20087918867312496,2.854924835530291E-7
0.04300000000000003,-1.0563204E-5,-1.57020865954166E-5,0.20090012117798178,2.993795585857356E-7
0.04400000000000003,-1.1077060000000002E-5,-1.6465875722215456E-5,0.2009210536433949,3.135944719595126E-7
0.04500000000000003,-1.1602978E-5,-1.724769595777319E-5,0.20094198606844701,3.2813709380655935E-7
0.046000000000000034,-1.2141069E-5,-1.8047540159360764E-5,0.2009629184522209,3.4300729430365494E-7
0.047000000000000035,-1.2691259E-5,-1.886540118670102E-5,0.20098385079379927,3.582049436723194E-7
0.048000000000000036,-1.3253585E-5,-1.9701271901977567E-5,0.20100478309226485,3.7372991217860484E-7
0.04900000000000004,-1.382801E-5,-2.0555145169823268E-5,0.2010257153467004,3.8958207013319515E-7
0.05000000000000004,-1.4414534E-5,-2.1427013857325735E-5,0.20104664755618865,4.057612878913203E-7
0.05100000000000004,-1.5013157E-5,-2.2316870834022617E-5,0.20106757971981232,4.222674358527942E-7
0.05200000000000004,-1.5623879E-5,-2.322470897190368E-5,0.2010885118366542,4.39100384461991E-7
0.05300000000000004,-1.62467E-5,-2.4150521145409505E-5,0.201109443905797,4.562600042078213E-7
0.05400000000000004,-1.688162E-5,-2.5094300231430172E-5,0.20113037592632343,4.7374616562370803E-7
